id,App Name,Size (MB),price,Review Count,user_rating,Category,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
281656475,PAC-MAN Premium,100M,$3.99 ,21292,4,Games,38,5,10,1
281796108,Evernote - stay organized,158M,$0.00 ,161065,4,Productivity,37,5,23,1
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",100M,$0.00 ,188583,3.5,Weather,37,5,3,1
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",128M,$0.00 ,262241,4,Shopping,37,5,9,1
282935706,Bible,92M,$0.00 ,985920,4.5,Reference,37,5,45,1
283619399,Shanghai Mahjong,10M,$0.99 ,8253,4,Games,47,5,1,1
283646709,PayPal - Send and request money safely,227M,$0.00 ,119487,4,Finance,37,0,19,1
284035177,Pandora - Music & Radio,130M,$0.00 ,1126879,4,Music,37,4,1,1
284666222,PCalc - The Best Calculator,49M,$9.99 ,1117,4.5,Utilities,37,5,1,1
284736660,Ms. PAC-MAN,70M,$3.99 ,7885,4,Games,38,0,10,1
284791396,Solitaire by MobilityWare,49M,$4.99 ,76720,4.5,Games,38,4,11,1
284815117,SCRABBLE Premium,227M,$7.99 ,105776,3.5,Games,37,0,6,1
284815942,Google – Search made just for mobile,179M,$0.00 ,479440,3.5,Utilities,37,4,33,1
284847138,Bank of America - Mobile Banking,160M,$0.00 ,119773,3.5,Finance,37,0,2,1
284862767,FreeCell,55M,$4.99 ,6340,4.5,Games,38,5,2,1
284876795,TripAdvisor Hotels Flights Restaurants,207M,$0.00 ,56194,4,Travel,37,1,26,1
284882215,Facebook,389M,$0.00 ,2974676,3.5,Social Networking,37,1,29,1
284910350,"Yelp - Nearby Restaurants, Shopping & Services",167M,$0.00 ,223885,4,Travel,37,5,18,1
284993459,"Shazam - Discover music, artists, videos & lyrics",147M,$0.00 ,402925,4,Music,37,3,16,1
285005463,Crash Bandicoot Nitro Kart 3D,10M,$2.99 ,31456,4,Games,47,0,1,1
285946052,iQuran,70M,$1.99 ,2929,4.5,Reference,43,0,2,1
285994151,:) Sudoku +,6M,$2.99 ,11447,5,Games,40,5,1,1
286058814,"Yahoo Sports - Teams, Scores, News & Highlights",130M,$0.00 ,137951,4,Sports,37,2,6,1
286070473,Mileage Log | Fahrtenbuch,71M,$5.99 ,8,4.5,Business,37,5,3,1
286799607,Cleartune - Chromatic Tuner,11M,$3.99 ,3241,4,Music,43,2,10,1
286906691,Lifesum – Inspiring healthy lifestyle app,188M,$0.00 ,5795,3.5,Health & Fitness,37,5,11,1
286911400,Hangman.,4M,$0.00 ,42316,3,Games,38,0,1,1
288113403,iTranslate - Language Translator & Dictionary,287M,$0.00 ,123215,3.5,Productivity,37,5,23,1
288120394,TouchOSC,4M,$4.99 ,782,4,Music,43,1,1,1
288419283,RadarScope,172M,$9.99 ,3449,4,Weather,37,5,1,1
288429040,LinkedIn,273M,$0.00 ,71856,3.5,Social Networking,37,2,23,1
289084315,Period Tracker Deluxe,40M,$1.99 ,13350,4.5,Health & Fitness,38,0,15,1
289446241,Election 2016 Map,2M,$0.99 ,137,3,Entertainment,37,1,1,1
289523017,Blackjack by MobilityWare,105M,$0.00 ,180087,3.5,Games,37,5,5,1
289894882,White Noise,44M,$0.99 ,33426,4,Health & Fitness,37,5,3,1
290638154,iHeartRadio – Free Music & Radio Stations,116M,$0.00 ,293228,4,Music,37,5,2,1
290807369,Line Rider iRide™,1M,$1.99 ,21609,3.5,Entertainment,40,0,1,1
290986013,Deliveries: a package tracker,30M,$4.99 ,4684,4,Utilities,37,4,9,1
291430598,Hurricane Pro,29M,$2.99 ,2104,4.5,Weather,37,0,1,1
292421271,Fieldrunners,66M,$2.99 ,41633,4,Games,37,0,1,1
292628469,Juxtaposer,45M,$2.99 ,3610,4.5,Photo & Video,37,5,1,1
292738169,Deezer - Listen to your Favorite Music & Playlists,127M,$0.00 ,4677,3,Music,37,5,21,1
293118835,iStellar,44M,$3.99 ,30,3.5,Navigation,37,0,2,0
293523031,Sonos Controller,107M,$0.00 ,48905,4.5,Music,37,4,12,1
293573778,Avertinoo,8M,$4.99 ,32,3,Navigation,38,5,7,1
293622097,Google Earth,37M,$0.00 ,446185,3.5,Travel,43,5,30,1
293760823,iFart - The Original Fart Sounds App,60M,$1.99 ,21825,3,Entertainment,37,5,1,1
293778748,PAC-MAN,100M,$0.00 ,508808,3,Games,38,5,10,1
294056623,FOX Sports Mobile,72M,$0.00 ,57500,3,Sports,37,0,1,0
294536447,First Words Animals,32M,$1.99 ,2576,4,Games,38,5,1,1
294631159,WeatherPro,69M,$1.99 ,1572,4,Weather,37,0,13,1
294934058,HotSchedules,82M,$2.99 ,3292,3,Business,37,2,2,1
295430577,Star Walk - Find Stars And Planets in Sky Above,150M,$4.99 ,8932,4.5,Education,37,0,12,1
295646461,"The Weather Channel: Forecast, Radar & Alerts",199M,$0.00 ,495626,3.5,Weather,37,0,33,1
295759189,Big Day - Event Countdown,13M,$0.99 ,812,3,Lifestyle,38,0,7,1
295775656,12 Steps AA Companion - Alcoholics Anonymous,30M,$2.99 ,1583,3.5,Lifestyle,37,5,1,1
296581815,OpenTable - Restaurant Reservations,93M,$0.00 ,113936,4.5,Food & Drink,37,1,6,1
297244048,VLC Remote,31M,$4.99 ,2027,4,Entertainment,37,5,33,1
297332787,gFlashPro - Flashcards & Tests,25M,$3.99 ,768,4,Education,37,3,3,1
297368629,Lose It! – Weight Loss Program and Calorie Counter,182M,$0.00 ,373835,4,Health & Fitness,37,3,1,1
297430070,Target,138M,$0.00 ,108131,3,Shopping,37,0,1,1
297606726,Fish Tycoon,13M,$0.99 ,18943,3.5,Games,47,0,1,1
297606951,"Amazon App: shop, scan, compare, and read reviews",133M,$0.00 ,126312,3.5,Shopping,37,5,8,1
297694601,Touchgrind,55M,$4.99 ,35735,4,Games,40,0,0,1
298127110,ProPresenter Remote,46M,$4.99 ,410,3,Utilities,37,5,1,1
298206806,iReal Pro - Music Book & Play Along,63M,$12.99 ,1390,4.5,Music,37,5,33,1
298596830,NRJ Radio,53M,$0.00 ,38,3.5,Music,37,5,4,1
298867247,Chase Mobile℠,39M,$0.00 ,233270,4.5,Finance,37,0,2,1
299029654,大辞林,210M,$21.99 ,64,4.5,Reference,37,5,2,1
299515267,Allrecipes Dinner Spinner,36M,$0.00 ,109349,3.5,Food & Drink,37,5,1,1
299853944,新浪新闻-阅读最新时事热门头条资讯视频,115M,$0.00 ,2229,3.5,News,37,0,1,1
299949744,MotionX GPS,56M,$1.99 ,14970,3.5,Navigation,37,0,1,1
300048137,AccuWeather - Weather for Life,181M,$0.00 ,144214,3.5,Weather,37,1,43,1
300238550,"Mint: Personal Finance, Budget, Bills & Money",162M,$0.00 ,232940,4,Finance,37,5,1,1
300255638,ABC News - US & World News + Live Video,98M,$0.00 ,48407,3,News,37,0,1,0
300265786,Rowmote: Remote Control for Mac,54M,$0.99 ,5531,3.5,Utilities,40,3,13,1
300590611,Peekaboo Barn,50M,$1.99 ,3393,4,Education,43,5,1,1
